Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
dermatology-6-5-fold,0.997,1.000,1.000,1.000,1.000,0.997,1.000,1.000,1.000,1.000,1.000,1.000,0.960,1.000,1.000,1.000,1.000,0.960,0.978,1.000,1.000,1.000,1.000,0.978,0.999,1.000,1.000,1.000,1.000,0.999
glass-0-1-6_vs_5-5-fold,0.946,0.978,0.951,0.951,0.946,0.978,0.000,0.700,0.000,0.000,0.000,0.800,0.000,0.900,0.000,0.000,0.000,0.667,0.000,0.767,0.000,0.000,0.000,0.720,0.000,0.822,0.000,0.000,0.000,0.794
shuttle-c2-vs-c4-5-fold,1.000,0.985,0.992,0.992,1.000,0.992,1.000,0.900,0.900,0.900,1.000,1.000,1.000,0.900,1.000,1.000,1.000,0.900,1.000,0.867,0.933,0.933,1.000,0.933,1.000,0.937,0.941,0.941,1.000,0.996
shuttle-6_vs_2-3-5-fold,1.000,1.000,0.987,0.987,1.000,0.996,1.000,1.000,0.700,0.700,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.933,1.000,1.000,0.800,0.800,1.000,0.960,1.000,1.000,0.824,0.824,1.000,0.998
yeast-1-4-5-8_vs_7-5-fold,0.957,0.957,0.957,0.957,0.957,0.957,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
glass5-5-fold,0.958,0.963,0.958,0.958,0.963,0.991,0.000,0.400,0.000,0.000,0.200,0.900,0.000,0.467,0.000,0.000,0.300,0.933,0.000,0.413,0.000,0.000,0.233,0.893,0.000,0.479,0.000,0.000,0.281,0.939
yeast-2_vs_8-5-fold,0.979,0.979,0.979,0.979,0.979,0.979,0.550,0.550,0.550,0.550,0.550,0.550,0.950,0.950,0.950,0.950,0.950,0.950,0.668,0.668,0.668,0.668,0.668,0.668,0.728,0.728,0.728,0.728,0.728,0.728
yeast4-5-fold,0.966,0.966,0.966,0.966,0.966,0.966,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
winequality-red-4-5-fold,0.967,0.967,0.967,0.967,0.967,0.967,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
poker-9_vs_7-5-fold,0.976,0.976,0.971,0.967,0.971,0.976,0.300,0.300,0.100,0.000,0.100,0.600,0.400,0.400,0.200,0.000,0.200,0.600,0.333,0.333,0.133,0.000,0.133,0.567,0.341,0.341,0.141,0.000,0.141,0.679
yeast-1-2-8-9_vs_7-5-fold,0.968,0.968,0.968,0.968,0.968,0.968,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
abalone-3_vs_11-5-fold,0.996,1.000,0.998,0.998,1.000,1.000,0.867,1.000,0.933,0.933,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.920,1.000,0.960,0.960,1.000,1.000,0.927,1.000,0.963,0.963,1.000,1.000
winequality-white-9_vs_4-5-fold,0.970,0.982,0.970,0.970,0.982,0.982,0.000,0.600,0.000,0.000,0.600,0.600,0.000,0.500,0.000,0.000,0.500,0.600,0.000,0.533,0.000,0.000,0.533,0.600,0.000,0.597,0.000,0.000,0.597,0.600
yeast5-5-fold,0.970,0.974,0.970,0.970,0.974,0.970,0.000,0.314,0.000,0.000,0.314,0.269,0.000,0.657,0.000,0.000,0.653,0.389,0.000,0.381,0.000,0.000,0.385,0.303,0.000,0.530,0.000,0.000,0.530,0.441
winequality-red-8_vs_6-5-fold,0.973,0.973,0.973,0.973,0.973,0.973,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ecoli-0-1-3-7_vs_2-6-5-fold,0.993,0.989,0.986,0.982,0.989,0.982,0.700,0.700,0.700,0.600,0.700,0.700,0.800,0.700,0.600,0.600,0.700,0.533,0.733,0.700,0.633,0.567,0.700,0.593,0.741,0.740,0.738,0.680,0.740,0.736
abalone-17_vs_7-8-9-10-5-fold,0.975,0.976,0.975,0.975,0.976,0.975,0.000,0.035,0.000,0.000,0.017,0.000,0.000,0.400,0.000,0.000,0.200,0.000,0.000,0.064,0.000,0.000,0.031,0.000,0.000,0.118,0.000,0.000,0.058,0.000
abalone-21_vs_8-5-fold,0.976,0.985,0.976,0.976,0.985,0.981,0.000,0.533,0.000,0.000,0.500,0.400,0.000,0.867,0.000,0.000,0.833,0.633,0.000,0.593,0.000,0.000,0.593,0.440,0.000,0.708,0.000,0.000,0.698,0.545
yeast6-5-fold,0.976,0.977,0.976,0.976,0.976,0.976,0.000,0.029,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.000,0.076,0.000,0.000,0.000,0.000
winequality-white-3_vs_7-5-fold,0.978,0.980,0.978,0.978,0.980,0.978,0.000,0.100,0.000,0.000,0.100,0.000,0.000,0.400,0.000,0.000,0.400,0.000,0.000,0.160,0.000,0.000,0.160,0.000,0.000,0.200,0.000,0.000,0.200,0.000
winequality-red-8_vs_6-7-5-fold,0.979,0.979,0.979,0.979,0.979,0.979,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
abalone-19_vs_10-11-12-13-5-fold,0.980,0.980,0.980,0.980,0.980,0.980,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
winequality-white-3-9_vs_5-5-fold,0.983,0.983,0.983,0.983,0.983,0.983,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
poker-8-9_vs_6-5-fold,0.983,0.983,0.983,0.983,0.983,0.983,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
shuttle-2_vs_5-5-fold,0.999,1.000,0.996,0.996,1.000,1.000,1.000,1.000,0.753,0.753,1.000,1.000,0.945,1.000,1.000,1.000,1.000,1.000,0.970,1.000,0.857,0.857,1.000,1.000,1.000,1.000,0.867,0.867,1.000,1.000
winequality-red-3_vs_5-5-fold,0.986,0.986,0.986,0.986,0.986,0.986,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
abalone-20_vs_8-9-10-5-fold,0.986,0.987,0.986,0.986,0.986,0.986,0.000,0.080,0.000,0.000,0.000,0.000,0.000,0.300,0.000,0.000,0.000,0.000,0.000,0.124,0.000,0.000,0.000,0.000,0.000,0.179,0.000,0.000,0.000,0.000
poker-8-9_vs_5-5-fold,0.988,0.988,0.988,0.988,0.988,0.988,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
poker-8_vs_6-5-fold,0.988,0.988,0.988,0.988,0.988,0.988,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
abalone19-5-fold,0.992,0.992,0.992,0.992,0.992,0.992,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
total wins,9.400,25.483,9.317,8.817,13.150,15.833,17.617,21.450,4.033,3.833,11.450,23.617,9.950,19.650,12.733,15.733,10.400,13.533,10.667,23.583,5.583,6.083,15.583,20.500,15.667,23.583,4.250,4.250,12.083,22.167
total wins - low,1.167,4.167,2.500,1.500,0.167,1.500,3.667,1.667,0.333,0.333,0.667,4.333,1.500,4.500,1.667,1.667,0.500,1.167,2.500,3.500,0.667,0.667,0.500,3.167,2.500,3.500,0.667,0.667,0.500,3.167
total wins - medium,1.500,3.000,1.500,1.000,3.000,1.000,3.333,2.833,0.000,0.000,1.667,3.167,2.000,0.000,1.000,4.500,0.500,3.000,0.500,3.500,0.000,0.500,4.500,2.000,2.500,2.500,0.000,0.000,2.000,4.000
total wins - high,6.733,18.317,5.317,6.317,9.983,13.333,10.617,16.950,3.700,3.500,9.117,16.117,6.450,15.150,10.067,9.567,9.400,9.367,7.667,16.583,4.917,4.917,10.583,15.333,10.667,17.583,3.583,3.583,9.583,15.000
