@relation shuttle-2_vs_5
@attribute A1 integer [27, 126]
@attribute A2 integer [-4821, 5075]
@attribute A3 integer [21, 149]
@attribute A4 integer [-3939, 3830]
@attribute A5 integer [-188, 436]
@attribute A6 integer [-26739, 15164]
@attribute A7 integer [-48, 105]
@attribute A8 integer [-353, 270]
@attribute A9 integer [-356, 266]
@attribute Class {positive, negative}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9
@outputs Class
@data
76, 4, 80, 3, -42, 0, 4, 124, 120, negative
71, 2, 75, 1, -42, -14, 4, 119, 114, negative
83, -2, 86, -1, -4, 0, 3, 92, 88, negative
101, -1, 102, -3, 72, -4, 1, 29, 28, negative
84, 0, 88, 0, 0, 9, 3, 88, 84, negative
82, 0, 86, 0, -12, -9, 3, 99, 96, negative
85, 0, 88, 5, 6, 0, 3, 83, 80, negative
104, 0, 106, 1, 70, -26, 1, 36, 34, negative
83, -4, 87, 4, -4, 0, 4, 92, 88, negative
83, 0, 86, 0, -6, -26, 3, 94, 90, negative
85, 0, 88, 0, 2, 12, 3, 86, 82, negative
101, 0, 102, 0, 72, 30, 1, 30, 28, negative
104, 6, 106, 9, 70, 0, 1, 36, 34, negative
105, -5, 106, 0, 70, -30, 1, 36, 36, negative
76, 2, 81, 1, -42, -24, 5, 125, 120, negative
82, 0, 86, 0, -10, 2, 3, 96, 92, negative
84, -4, 88, -6, 0, 28, 3, 88, 84, negative
106, 0, 107, 0, 72, 5, 1, 35, 34, negative
85, 0, 88, 0, 6, 13, 3, 83, 80, negative
102, 0, 103, 1, 72, 28, 1, 31, 30, negative
76, 1, 81, 0, -40, 0, 4, 122, 118, negative
79, -3, 84, 0, -38, 0, 4, 123, 118, negative
84, -1, 88, 0, 0, 0, 4, 88, 84, negative
102, 0, 103, 1, 72, 27, 1, 31, 30, negative
104, 2, 106, 2, 70, 0, 1, 36, 34, negative
81, 0, 84, 0, -14, 0, 3, 99, 96, negative
101, 0, 102, 0, 72, 21, 1, 29, 28, negative
105, 0, 107, 1, 70, 0, 1, 37, 36, negative
79, 0, 83, 2, -46, 0, 5, 130, 126, negative
81, 2, 85, 0, -12, 0, 4, 98, 94, negative
85, 0, 88, -2, 0, 0, 3, 88, 84, negative
105, -2, 106, -5, 70, 0, 1, 36, 34, negative
79, 0, 83, 0, -32, 14, 4, 117, 112, negative
79, 0, 83, 0, -30, 25, 4, 114, 110, negative
84, 0, 87, -1, 0, 8, 3, 87, 84, negative
77, 0, 81, 0, -40, 4, 4, 123, 118, negative
107, -3, 108, 0, 72, 2, 1, 36, 34, negative
123, 4903, 104, -3, 36, -6, -18, 68, 86, negative
85, 0, 88, 1, 2, 0, 3, 86, 82, negative
78, 0, 81, -6, -40, 0, 4, 123, 120, negative
102, -4, 104, -1, 72, 13, 1, 31, 30, negative
85, 0, 88, 0, 6, 14, 3, 83, 80, negative
120, 1349, 76, 4, 36, 5, -43, 40, 84, negative
84, 0, 88, 2, -2, 0, 4, 90, 86, negative
78, 0, 81, -1, -40, 7973, 4, 123, 120, negative
85, 0, 88, 0, 2, -21, 3, 86, 82, negative
103, 0, 104, 1, 70, 0, 1, 35, 34, negative
82, -3, 86, 0, -10, 2, 4, 96, 92, negative
101, 0, 102, 0, 70, -31, 1, 32, 32, negative
85, -1, 89, 0, 2, -5, 4, 86, 82, negative
85, -2, 89, 0, 6, 31, 4, 84, 80, negative
72, 21, 82, 0, -42, -1, 10, 126, 116, positive
79, 0, 83, 8, -42, 0, 5, 127, 122, negative
83, 1, 86, 3, -6, 0, 4, 94, 90, negative
75, 6, 79, 6, -42, 0, 4, 123, 120, negative
71, 2, 76, 6, -42, -9, 4, 119, 116, negative
76, 0, 81, 0, -40, 29, 5, 123, 118, negative
103, -14, 107, 0, 70, 0, 4, 37, 34, negative
82, 0, 86, 0, -10, 25, 3, 96, 92, negative
81, -1, 84, 0, -20, 18, 4, 105, 102, negative
84, -3, 88, 0, 6, 0, 4, 83, 80, negative
85, 0, 88, 0, 6, 0, 3, 83, 80, negative
86, 5, 89, 0, 2, -1, 3, 86, 84, negative
103, 0, 104, 6, 70, 0, 1, 35, 34, negative
82, 0, 86, 0, -40, 9, 4, 128, 124, negative
80, 0, 84, -2, -38, -12, 4, 123, 118, negative
104, 0, 105, -7, 72, 10, 1, 33, 32, negative
82, 0, 86, -1, -10, 4, 3, 96, 92, negative
105, -4, 107, -7, 70, 0, 2, 37, 36, negative
85, 1, 88, 0, 0, 0, 3, 88, 84, negative
76, -1, 80, 0, -40, 0, 4, 121, 116, negative
104, 0, 105, 0, 70, -25, 1, 35, 34, negative
82, 0, 85, -1, -10, 0, 3, 95, 92, negative
79, -1, 84, 11, -6, 1530, 5, 92, 88, negative
101, -3, 102, 0, 70, -4, 1, 33, 32, negative
82, 0, 86, 1, -2, 7, 4, 88, 84, negative
102, 0, 102, -3, 70, -1, 1, 33, 32, negative
83, 0, 86, -1, -4, 3, 3, 92, 88, negative
79, 0, 83, 0, -46, -15, 4, 130, 126, negative
82, -1, 86, 0, -6, 0, 3, 94, 90, negative
85, 2, 88, 3, -2, 0, 3, 91, 88, negative
85, 4, 88, 0, 2, -20, 3, 86, 82, negative
102, 4, 103, 3, 72, 13, 1, 31, 30, negative
103, 0, 104, 2, 70, 0, 1, 35, 34, negative
80, -5, 84, 0, -14, 0, 4, 99, 96, negative
82, 0, 86, 0, -42, -29, 4, 130, 126, negative
81, 0, 85, -3, -24, -5, 4, 111, 108, negative
104, 0, 106, 0, 72, 11, 1, 33, 32, negative
84, -5, 88, 0, 0, 4, 4, 88, 84, negative
81, 0, 84, 0, -14, 27, 3, 100, 96, negative
81, 0, 84, 0, -18, 7, 4, 103, 98, negative
81, 0, 84, 0, -14, 24, 3, 100, 96, negative
85, 0, 88, 0, 2, 31, 3, 86, 82, negative
101, 0, 102, 0, 72, 13, 1, 29, 28, negative
79, 0, 83, 0, -40, -20, 4, 125, 120, negative
84, 0, 86, -3, -2, 0, 3, 89, 86, negative
71, 1, 75, 0, -42, -7, 4, 119, 114, negative
84, 4, 87, 0, -4, 0, 3, 92, 88, negative
77, -1, 81, 0, -40, 24, 4, 123, 118, negative
103, 4, 104, 0, 70, 0, 1, 34, 34, negative
80, -2, 84, 2, -36, 0, 5, 121, 116, negative
104, 6, 105, 8, 70, 0, 1, 35, 34, negative
81, 0, 84, 0, -14, 6, 3, 100, 96, negative
80, 0, 84, 0, -42, -11, 4, 128, 124, negative
83, 0, 86, 0, -6, -11, 3, 94, 90, negative
80, -5, 84, -6, -40, 1, 4, 126, 122, negative
85, 0, 88, -23, 0, 0, 3, 88, 84, negative
77, -2, 81, 0, -40, 58, 4, 123, 118, negative
107, 0, 108, -6, 70, -19, 1, 38, 36, negative
44, 45, 77, 0, -22, 0, 34, 101, 66, positive
80, 0, 84, 0, -32, 1, 4, 117, 114, negative
82, 0, 86, 4, -12, 0, 4, 99, 94, negative
45, 46, 77, 0, -22, 0, 33, 101, 68, positive
81, 4, 84, 0, -20, 0, 4, 105, 102, negative
47, 33, 77, 0, 28, 0, 30, 48, 18, positive
85, 0, 88, 2, 2, 0, 3, 86, 82, negative
85, -1, 89, 0, 6, 19, 4, 84, 80, negative
105, 4, 107, 7, 72, 4, 1, 35, 34, negative
81, 0, 84, -6, -22, 0, 3, 108, 104, negative
102, 0, 103, 7, 70, -20, 1, 33, 32, negative
80, 0, 84, 0, -14, 0, 4, 99, 96, negative
84, -3, 88, 0, 2, 0, 3, 85, 82, negative
81, 4, 85, 0, -24, 0, 4, 111, 108, negative
80, 2, 84, 0, -38, 0, 4, 123, 118, negative
103, 1, 104, 0, 70, 0, 1, 35, 34, negative
105, 0, 106, -2, 70, 0, 1, 36, 34, negative
79, 0, 83, 0, -32, -24, 4, 117, 112, negative
86, 5, 89, 0, 6, -23, 3, 84, 80, negative
79, 0, 83, 0, -46, -7, 4, 130, 126, negative
79, 0, 83, 0, -38, 10, 4, 122, 118, negative
102, 0, 103, 0, 70, -8, 1, 33, 32, negative
108, -1, 109, 0, 72, 8, 1, 36, 36, negative
78, 0, 82, -6, -46, 0, 4, 128, 124, negative
104, 0, 104, -3, 70, 0, 1, 35, 34, negative
85, 0, 88, 2, 6, 3, 3, 83, 80, negative
102, 0, 103, 4, 70, -9, 1, 33, 32, negative
85, 0, 88, 0, 0, -29, 3, 88, 86, negative
76, 0, 81, 0, -42, -7, 5, 125, 120, negative
103, 2, 104, 5, 70, 0, 1, 35, 34, negative
85, 0, 88, 0, 2, -15, 3, 86, 82, negative
84, -2, 88, -4, 0, 22, 3, 88, 84, negative
81, 0, 84, 5, -12, 21, 4, 97, 94, negative
84, -4, 88, 0, 6, 0, 5, 83, 78, negative
77, 0, 81, 0, -40, 8, 4, 123, 118, negative
107, 0, 108, -3, 72, 10, 1, 35, 34, negative
71, 1, 75, 0, -40, 26, 4, 116, 112, negative
105, -1, 106, 0, 72, 3, 1, 34, 32, negative
81, 0, 84, 0, -20, 13, 4, 105, 102, negative
80, -1, 84, 1, -36, 15, 5, 121, 116, negative
107, 0, 108, -4, 70, 0, 1, 38, 36, negative
84, 0, 88, 0, 2, 0, 3, 85, 82, negative
80, 0, 84, 4, -20, 0, 4, 105, 100, negative
85, 0, 89, 0, 2, -7, 4, 86, 82, negative
79, 0, 83, 4, -42, -19, 5, 127, 122, negative
79, 0, 83, 0, -28, 18, 4, 112, 108, negative
82, 0, 85, -5, -10, 0, 3, 95, 92, negative
83, 0, 86, 0, -4, -14, 4, 92, 88, negative
85, 0, 88, 0, 0, -27, 3, 88, 86, negative
101, 1, 102, 3, 70, -25, 1, 33, 32, negative
79, 0, 84, 2, -32, -22, 4, 117, 112, negative
82, 0, 87, 0, -40, 1, 5, 128, 124, negative
81, 0, 85, 0, -40, 6, 4, 126, 122, negative
106, 3, 108, 1, 70, 0, 1, 38, 36, negative
83, 0, 86, -2, -6, -22, 3, 94, 90, negative
71, 4, 75, 1, -42, -18, 4, 119, 114, negative
85, -1, 88, 0, 2, -8, 3, 86, 82, negative
106, -2, 108, 0, 72, 6, 1, 35, 34, negative
82, -3, 86, 0, -2, 6, 4, 88, 84, negative
85, 0, 88, 0, 2, 9, 3, 86, 82, negative
102, 3, 103, 1, 70, -3, 1, 33, 32, negative
82, -1, 86, -6, -40, 0, 4, 128, 124, negative
82, 5, 86, 0, -40, 5, 4, 128, 124, negative
104, -2, 105, -1, 72, 17, 1, 33, 32, negative
80, 0, 84, 0, -24, 13, 4, 110, 106, negative
81, -4, 85, 0, -22, 0, 4, 108, 104, negative
104, 3, 106, 5, 72, 3, 1, 33, 32, negative
101, 0, 102, 0, 72, 552, 1, 30, 28, negative
79, 4, 83, 0, -42, 0, 4, 127, 122, negative
105, 0, 106, 0, 72, 1, 1, 34, 34, negative
81, 0, 84, 0, -12, 27, 3, 97, 94, negative
81, 2, 84, 0, -14, -17, 3, 100, 96, negative
78, 1, 82, 0, -40, 11, 4, 123, 120, negative
101, 0, 102, 0, 72, 3, 1, 30, 28, negative
72, 6, 76, 4, -42, -6, 4, 120, 116, negative
79, -1, 83, -3, -40, 10, 4, 125, 120, negative
85, 0, 88, 0, 6, -1, 3, 83, 80, negative
79, 0, 83, 0, -32, -21, 4, 117, 112, negative
85, 0, 88, 0, -2, -5, 3, 91, 88, negative
80, 0, 84, -4, -20, 0, 4, 105, 100, negative
104, -1, 106, 0, 72, 5, 1, 33, 32, negative
76, 0, 80, -7, -42, -11, 4, 124, 120, negative
79, 0, 83, -2, -40, 6, 4, 125, 120, negative
80, 0, 85, 1, -42, -28, 5, 129, 124, negative
103, 5, 104, 0, 70, 0, 1, 34, 34, negative
77, 0, 81, -6, -40, 0, 4, 122, 118, negative
123, 1409, 105, 1, 36, -5, -18, 69, 86, negative
71, 32, 82, 0, -42, -4, 11, 126, 116, positive
81, 0, 84, -1, -20, -16, 4, 105, 102, negative
102, 3, 103, 3, 72, 11, 1, 31, 30, negative
85, 0, 89, 0, 2, -12, 4, 86, 82, negative
84, 5, 89, 0, 6, -12, 5, 84, 78, negative
82, 0, 85, 0, -6, 17, 3, 93, 90, negative
84, 0, 88, 0, 6, 0, 4, 83, 78, negative
102, 2, 104, 2, 72, 12, 1, 31, 30, negative
105, 0, 106, 3, 70, 0, 2, 36, 34, negative
81, 2, 84, 0, -14, -13, 3, 100, 96, negative
102, 0, 102, -5, 70, -7, 1, 33, 32, negative
80, -2, 84, 0, -36, 0, 5, 121, 116, negative
107, -1, 108, 0, 72, 13, 1, 36, 34, negative
78, 1, 81, 0, -40, 222, 4, 123, 120, negative
102, 0, 103, 5, 70, -1, 1, 33, 32, negative
82, 0, 86, 0, -12, -2, 3, 99, 96, negative
85, -13, 89, 0, 8, 0, 4, 81, 78, negative
101, 3, 102, 0, 72, 15, 1, 29, 28, negative
107, 0, 108, 0, 70, 0, 1, 38, 36, negative
81, 0, 84, 0, -22, -12, 4, 108, 104, negative
85, 0, 88, 0, 2, 21, 3, 86, 82, negative
107, 0, 108, 5, 70, 0, 1, 38, 36, negative
81, 0, 84, 0, -18, 20, 4, 103, 98, negative
106, -1, 108, 0, 72, 4, 1, 35, 34, negative
82, 2, 86, 0, -2, 9, 3, 88, 84, negative
82, 0, 86, -2, -40, 11, 4, 128, 124, negative
79, 0, 84, 3, -32, -9, 4, 117, 112, negative
77, -5, 81, 0, -40, 277, 4, 123, 118, negative
102, 1, 104, 8, 70, -4, 2, 34, 32, negative
103, -2, 104, -1, 70, -15, 1, 35, 34, negative
80, 1, 84, 0, -42, -29, 4, 128, 124, negative
106, 1, 108, 6, 70, 0, 2, 38, 36, negative
85, 7, 89, 0, 6, -6, 4, 84, 80, negative
81, 0, 84, 0, -12, 11, 3, 97, 94, negative
47, 44, 77, 0, -22, 0, 30, 101, 70, positive
81, 0, 84, 3, -14, 0, 4, 100, 96, negative
82, 0, 86, -1, -40, 1, 4, 128, 124, negative
101, 0, 102, 0, 72, 179, 1, 30, 28, negative
81, -4, 84, 0, -14, 4, 4, 100, 96, negative
105, 1, 106, 0, 70, -1, 1, 36, 36, negative
106, 0, 107, 0, 70, -29, 1, 37, 36, negative
78, -5, 82, 0, -40, 0, 4, 123, 120, negative
82, 0, 86, 3, -6, 1, 4, 94, 90, negative
82, 0, 86, 0, -42, -25, 4, 130, 126, negative
77, 5, 81, 0, -42, 0, 4, 125, 122, negative
102, 0, 102, -2, 70, -16, 1, 33, 32, negative
85, 0, 88, 0, 0, -5, 3, 88, 86, negative
83, -2, 88, 0, 6, 0, 5, 83, 78, negative
81, 0, 84, 0, -22, -11, 4, 108, 104, negative
80, -6, 84, -8, -40, 2, 4, 126, 122, negative
84, -1, 87, 0, 0, 0, 3, 87, 84, negative
81, 2, 84, 0, -12, 20, 3, 97, 94, negative
79, 5, 83, 0, -30, 0, 4, 114, 110, negative
102, 2, 103, 1, 70, -2, 1, 33, 32, negative
105, -2, 107, 0, 70, 0, 1, 37, 36, negative
105, 1, 107, 8, 70, 0, 1, 37, 36, negative
81, 0, 84, 0, -12, 22, 4, 97, 94, negative
43, 29, 77, 0, 28, 0, 34, 48, 14, positive
77, 3, 81, 0, -42, 0, 4, 125, 122, negative
80, -1, 84, 0, -14, 0, 4, 99, 96, negative
102, 0, 103, 3, 70, -8, 1, 33, 32, negative
81, 2, 84, 0, -14, 1, 3, 100, 96, negative
104, 2, 105, 0, 70, -28, 1, 35, 34, negative
84, 0, 88, 0, 0, 6, 3, 88, 84, negative
102, -3, 104, 0, 70, 0, 1, 34, 32, negative
78, 3, 81, 0, -42, 0, 4, 125, 122, negative
108, 3, 109, 2, 72, 4, 1, 36, 36, negative
81, 0, 86, 3, -42, -28, 5, 130, 124, negative
84, 1, 88, 0, 6, 0, 5, 83, 78, negative
81, 0, 84, 0, -14, 0, 4, 100, 96, negative
102, 0, 102, -6, 70, -5, 1, 33, 32, negative
76, 3, 80, 0, -42, 0, 4, 124, 120, negative
105, -4, 107, 0, 70, 0, 1, 37, 36, negative
84, 9, 89, 0, 6, -9, 5, 84, 78, negative
85, 0, 88, -2044, 0, 0, 3, 88, 84, negative
75, -8, 79, -11, -40, 6, 4, 120, 116, negative
79, -6, 83, -3, -32, 3799, 4, 117, 112, negative
85, -1, 88, 0, 6, 0, 3, 83, 80, negative
81, -2, 86, -2, -40, 0, 4, 127, 122, negative
104, -1, 105, 0, 72, 3, 1, 33, 32, negative
79, 1, 83, 0, -30, 0, 4, 114, 110, negative
106, 0, 107, 0, 72, 3, 1, 35, 34, negative
77, 2, 81, 0, -40, 0, 4, 123, 118, negative
106, 2, 108, 7, 72, 7, 2, 35, 34, negative
51, 24, 77, 0, -22, 0, 27, 101, 74, positive
81, -4, 84, 0, -14, 2, 4, 100, 96, negative
105, 0, 106, -6, 72, 13, 1, 34, 34, negative
82, 2, 86, 0, -42, -29, 4, 130, 126, negative
102, 0, 103, 3, 70, -6, 1, 33, 32, negative
78, 0, 83, 2, -42, 0, 4, 126, 122, negative
104, 2, 106, 4, 72, 2, 1, 33, 32, negative
84, 4, 86, -3, -4, 0, 3, 92, 88, negative
84, -2, 88, 0, 0, 1, 4, 88, 84, negative
84, 0, 87, -1, -2, 0, 3, 90, 86, negative
80, 3, 84, 0, -42, 0, 4, 128, 124, negative
82, 1, 86, 0, -10, 4, 3, 96, 92, negative
104, 0, 105, -4, 72, 1, 1, 33, 32, negative
82, 4, 86, 0, -10, 1, 3, 96, 92, negative
81, 0, 84, -3, -14, 0, 3, 99, 96, negative
82, -1, 86, 1, -4, -28, 4, 91, 88, negative
82, 0, 87, 0, -40, 2, 5, 128, 124, negative
104, -3, 105, -2, 70, 0, 1, 35, 34, negative
79, 0, 83, 0, -46, -11, 4, 130, 126, negative
81, 0, 85, -2, -24, 0, 4, 111, 108, negative
78, 4, 82, 3, -42, -15, 4, 126, 122, negative
105, -4, 106, -6, 70, 0, 1, 36, 34, negative
102, 0, 103, 2, 72, 28, 1, 31, 30, negative
107, 2, 108, 0, 70, 0, 1, 38, 38, negative
84, 4, 87, 4, -4, 0, 3, 92, 88, negative
104, 0, 104, -5, 70, 0, 1, 35, 34, negative
102, -1, 104, 0, 72, 12, 1, 31, 30, negative
81, 0, 84, 0, -12, 13, 3, 97, 94, negative
105, 0, 106, 6, 70, 0, 2, 36, 34, negative
104, 0, 105, -7, 72, 2, 1, 33, 32, negative
76, -1, 81, 0, -42, 0, 5, 125, 120, negative
101, 0, 102, 0, 70, -2, 1, 33, 32, negative
84, 3, 86, -2, -4, 0, 3, 92, 88, negative
72, 30, 82, 0, -42, -3, 10, 126, 116, positive
105, 0, 107, -2, 70, -3, 1, 37, 36, negative
82, -5, 87, 0, -40, 0, 5, 128, 124, negative
105, 0, 106, 0, 72, 2, 1, 34, 34, negative
104, 2, 106, 4, 70, 0, 1, 36, 34, negative
102, 0, 102, 0, 70, -2, 1, 33, 32, negative
85, 0, 88, 0, 0, -10, 3, 88, 86, negative
102, 0, 103, 0, 70, -18, 1, 33, 32, negative
81, 0, 85, 0, -24, -3, 4, 111, 108, negative
81, 0, 84, 0, -20, -8, 4, 105, 102, negative
82, 0, 85, -1, -6, 2, 3, 93, 90, negative
101, 0, 102, 0, 72, 12, 1, 29, 28, negative
84, 1, 88, 6, 0, 0, 3, 88, 84, negative
81, 0, 84, 0, -12, 4, 3, 97, 94, negative
79, 1, 83, 0, -42, -22, 4, 127, 122, negative
83, 0, 87, 0, -40, 11, 4, 128, 124, negative
104, 0, 105, -6, 70, 0, 1, 35, 34, negative
79, 4, 84, 8, -40, 5, 4, 125, 120, negative
81, 0, 84, 0, -14, -15, 3, 99, 96, negative
80, 0, 84, 0, -36, -14, 4, 120, 116, negative
84, 1, 86, -4, -4, 0, 3, 92, 88, negative
81, 0, 84, 0, -14, -11, 4, 100, 96, negative
104, 0, 105, 0, 72, 4, 1, 33, 32, negative
80, 0, 84, 0, -32, 7, 4, 117, 114, negative
101, 0, 102, 0, 72, 1, 1, 30, 28, negative
103, 2, 104, 4, 72, 7, 1, 32, 30, negative
84, 0, 88, 0, 6, -1, 5, 83, 78, negative
103, 5, 104, -1, 70, -2, 1, 35, 34, negative
83, 3, 86, 8, -6, 0, 4, 94, 90, negative
79, 0, 83, 0, -46, -20, 4, 130, 126, negative
81, 0, 84, 0, -20, -10, 4, 105, 102, negative
84, -1, 88, 0, 6, 0, 4, 83, 80, negative
81, 2, 84, 0, -22, -3, 3, 108, 104, negative
82, 4, 86, 4, -2, 0, 3, 88, 84, negative
82, 0, 87, 6, -40, 1, 5, 128, 124, negative
77, -1, 81, 0, -40, 30, 4, 123, 118, negative
84, 0, 88, 1, -2, 0, 4, 90, 86, negative
86, 7, 89, 0, 8, 9, 3, 81, 78, negative
81, 0, 84, 0, -18, 17, 4, 103, 98, negative
80, 2, 84, 0, -28, -8, 4, 112, 108, negative
83, 1, 86, 0, -2, 0, 3, 88, 86, negative
81, 3, 84, 0, -24, 0, 4, 110, 106, negative
81, 0, 84, 0, -18, -21, 3, 103, 100, negative
102, 0, 103, 0, 72, 28, 1, 31, 30, negative
76, 3, 82, 0, -42, -5, 5, 126, 120, negative
76, 0, 81, 6, -40, 7, 5, 122, 116, negative
78, 5, 83, 6, -40, 17, 4, 124, 120, negative
82, 0, 85, -1, -10, -29, 3, 95, 92, negative
82, 0, 85, 0, -6, 25, 3, 93, 90, negative
84, 2, 86, 0, -2, 0, 3, 89, 86, negative
82, 0, 85, 0, -10, -5, 3, 95, 92, negative
85, 0, 88, 0, 2, -17, 3, 86, 82, negative
85, 0, 88, -9, 0, 0, 3, 88, 84, negative
81, 1, 84, 0, -14, 6, 3, 100, 96, negative
101, 0, 102, 0, 72, 5, 1, 29, 28, negative
79, 0, 83, 0, -42, 9, 4, 127, 122, negative
81, 2, 85, 0, -40, 11, 4, 126, 122, negative
108, 5, 109, 3, 70, -30, 1, 39, 38, negative
83, 0, 86, 0, -4, 9, 3, 92, 88, negative
84, 2, 88, 0, 0, 1, 3, 88, 84, negative
82, 0, 85, 0, -4, -26, 3, 90, 88, negative
82, 0, 86, 0, -10, 16, 3, 96, 92, negative
82, 0, 86, 0, -10, 20, 3, 96, 92, negative
76, 1, 81, 1, -42, -23, 5, 125, 120, negative
76, 0, 81, -3, -40, 20, 5, 122, 118, negative
77, 0, 81, 0, -40, 3, 4, 123, 118, negative
82, 0, 85, -4, -2, 9, 3, 88, 84, negative
102, 0, 103, 0, 72, 22, 1, 31, 30, negative
105, -1, 106, -2, 72, 1, 1, 33, 32, negative
75, 5, 79, 1, -42, 0, 4, 123, 118, negative
71, -6, 75, -4, -42, -25, 4, 119, 114, negative
