@relation shuttle-2_vs_5
@attribute A1 integer [27, 126]
@attribute A2 integer [-4821, 5075]
@attribute A3 integer [21, 149]
@attribute A4 integer [-3939, 3830]
@attribute A5 integer [-188, 436]
@attribute A6 integer [-26739, 15164]
@attribute A7 integer [-48, 105]
@attribute A8 integer [-353, 270]
@attribute A9 integer [-356, 266]
@attribute Class {positive, negative}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9
@outputs Class
@data
79, 0, 83, 0, -30, 4, 4, 114, 110, negative
76, 0, 80, 0, -40, 14, 4, 121, 116, negative
79, 0, 84, 2, -42, -5, 4, 128, 124, negative
85, 0, 89, 1, 6, 27, 4, 84, 80, negative
85, 0, 88, 0, 2, 30, 3, 86, 82, negative
80, 0, 84, 0, -42, -12, 4, 128, 124, negative
84, -3, 88, 0, 6, 0, 4, 83, 78, negative
83, -3, 88, 0, 6, 0, 5, 83, 78, negative
84, 0, 88, 0, -2, -30, 4, 90, 86, negative
102, 0, 102, 0, 70, -1, 1, 33, 32, negative
105, 1, 106, 0, 70, -2, 1, 36, 34, negative
77, -3, 81, 0, -40, 0, 4, 123, 118, negative
79, -4, 83, 0, -30, 0, 4, 114, 110, negative
82, 0, 86, 0, -2, 8, 4, 88, 84, negative
76, 0, 79, -7, -40, 0, 4, 121, 116, negative
106, -1, 108, 0, 70, 0, 2, 38, 36, negative
83, 5, 86, 0, -2, 0, 3, 88, 86, negative
81, -1, 84, 0, -18, 0, 4, 103, 98, negative
106, -5, 108, -1, 70, 0, 1, 38, 36, negative
73, 9, 77, 7, -42, -4, 4, 121, 118, negative
83, 4, 86, 0, -2, 0, 3, 88, 86, negative
81, 0, 84, 0, -18, -10, 3, 103, 100, negative
106, -5, 108, 0, 70, -24, 1, 38, 36, negative
82, 0, 86, 0, -10, 17, 3, 96, 92, negative
81, 0, 85, 6, -12, 1, 4, 98, 94, negative
104, 0, 106, 0, 72, 3, 1, 33, 32, negative
78, 0, 83, 6, -42, 0, 4, 126, 122, negative
85, 0, 88, 0, 0, -2, 3, 88, 86, negative
76, -3, 81, 0, -42, 0, 4, 125, 120, negative
79, 0, 83, 0, -28, 7, 4, 112, 108, negative
76, 0, 81, -1, -40, 10, 5, 122, 118, negative
105, -1, 106, -2, 70, 0, 1, 36, 34, negative
101, 0, 102, 0, 70, -4, 1, 33, 32, negative
85, -2, 88, 0, 0, -25, 3, 88, 84, negative
81, 1, 84, 0, -22, -5, 3, 108, 104, negative
77, -4, 81, 0, -40, 0, 4, 123, 118, negative
79, 0, 83, 0, -40, -6, 4, 125, 120, negative
82, 0, 86, -2, -40, 9, 4, 128, 124, negative
84, 0, 88, 0, -2, -27, 3, 90, 88, negative
82, 2, 86, 0, -6, 0, 3, 94, 90, negative
85, 0, 88, 0, 2, -29, 3, 86, 82, negative
82, 0, 86, 2, -12, 0, 4, 99, 94, negative
101, 0, 102, 0, 72, 11, 1, 29, 28, negative
81, 0, 84, 1, -12, 21, 4, 97, 94, negative
80, 2, 84, 0, -24, 26, 4, 110, 106, negative
81, 0, 84, 0, -12, 23, 4, 97, 94, negative
102, 0, 103, 0, 70, -13, 1, 33, 32, negative
105, -4, 106, 2, 70, 0, 2, 36, 34, negative
101, 0, 102, 0, 72, 10, 1, 30, 28, negative
81, 0, 86, 0, -22, 19, 4, 109, 104, negative
78, 1, 81, 0, -40, 114, 4, 123, 120, negative
80, 1, 84, 0, -40, 2, 4, 126, 122, negative
79, 0, 83, -6, -40, 0, 4, 125, 120, negative
102, 0, 103, 0, 70, -16, 1, 33, 32, negative
102, 0, 103, 1, 70, -15, 1, 33, 32, negative
82, 0, 86, 2, -6, 1, 4, 94, 90, negative
81, 0, 84, 0, -22, -6, 3, 108, 104, negative
80, 3, 84, 0, -38, 0, 4, 123, 118, negative
104, -2, 106, 0, 70, 0, 1, 36, 34, negative
106, 2, 108, 1, 70, 0, 1, 38, 36, negative
106, 0, 108, 6, 70, 0, 2, 38, 36, negative
84, 0, 87, -1, 0, 10, 3, 87, 84, negative
105, 0, 106, -6, 70, 0, 1, 36, 34, negative
106, 0, 107, 0, 70, 0, 1, 37, 36, negative
80, 0, 84, 4, -24, 7, 4, 110, 106, negative
104, 5, 105, 6, 72, 9, 1, 33, 32, negative
101, 0, 102, 0, 72, 38, 1, 30, 28, negative
102, 0, 104, 0, 70, -13, 1, 34, 32, negative
79, 0, 83, 0, -46, -19, 4, 130, 126, negative
83, 0, 86, 0, -6, -2, 3, 94, 90, negative
81, 2, 84, 0, -14, 0, 3, 99, 96, negative
79, 3, 83, 0, -42, 0, 4, 126, 122, negative
102, 0, 102, -1, 72, 18, 1, 30, 30, negative
83, -3, 86, -4, -4, 0, 3, 92, 88, negative
85, 0, 88, 0, -2, -6, 3, 91, 88, negative
104, 0, 104, -2, 70, 0, 1, 35, 34, negative
76, -5, 80, 0, -40, 0, 4, 121, 116, negative
81, 0, 84, 0, -12, 19, 4, 97, 94, negative
83, 0, 86, 0, -4, 20, 3, 92, 88, negative
76, 2, 81, -2, -42, 0, 5, 125, 120, negative
85, 0, 88, -1, 2, -14, 3, 86, 82, negative
106, 2, 108, 8, 70, -30, 2, 38, 36, negative
79, 0, 84, -2, -40, 10, 4, 125, 120, negative
78, -3, 83, 0, -46, 0, 4, 129, 124, negative
76, 0, 80, 0, -40, 20, 4, 121, 116, negative
62, 66, 82, 0, -42, -8, 20, 126, 106, positive
105, 0, 106, 6, 70, -1, 2, 36, 34, negative
104, -3, 105, -3, 70, 0, 1, 35, 34, negative
76, 0, 80, -1, -42, 0, 4, 124, 120, negative
85, 8, 89, 0, 8, 28, 4, 81, 78, negative
102, 0, 103, 0, 70, -27, 1, 33, 32, negative
82, 0, 86, 0, -2, 11, 3, 88, 84, negative
84, 0, 88, 0, -2, -20, 3, 90, 88, negative
105, 0, 106, 2, 70, 0, 2, 36, 34, negative
106, 2, 108, 1, 72, 3, 1, 35, 34, negative
103, -1, 104, -3, 70, -4, 1, 35, 34, negative
86, -2, 89, 0, 8, 0, 3, 81, 78, negative
107, 0, 108, 1, 70, 0, 1, 38, 36, negative
82, 0, 86, 0, -2, 17, 3, 88, 84, negative
79, 0, 83, 0, -38, 16, 4, 122, 118, negative
82, 0, 87, 1, -40, 4, 5, 128, 124, negative
79, 0, 83, 0, -46, -9, 4, 130, 126, negative
79, 0, 83, -2, -40, 8, 4, 125, 120, negative
103, -2, 104, -5, 72, 12, 1, 31, 30, negative
76, -1, 81, 0, -40, 12, 5, 122, 116, negative
86, 8, 89, 0, 8, 11, 3, 81, 78, negative
82, 0, 86, 8, -12, 0, 4, 99, 94, negative
104, 1, 106, 2, 70, -30, 1, 36, 34, negative
85, -9, 89, 0, 8, 0, 4, 81, 78, negative
83, 0, 86, 0, -4, 19, 3, 92, 88, negative
77, 3, 81, 0, -40, 0, 4, 123, 118, negative
80, -3, 84, -8, -40, 3, 4, 125, 122, negative
83, 0, 86, 0, -4, 1, 3, 92, 88, negative
81, 0, 86, 0, -40, 1, 4, 127, 122, negative
82, 0, 86, -1, -40, 4, 4, 128, 124, negative
105, -2, 106, 0, 72, 4, 1, 34, 32, negative
102, 0, 103, 3, 72, 25, 1, 31, 30, negative
78, -5, 83, 0, -46, 0, 4, 129, 124, negative
85, 0, 89, 0, 6, 23, 4, 84, 80, negative
81, 0, 84, 0, -22, -8, 4, 108, 104, negative
79, 0, 83, 0, -38, 9, 4, 122, 118, negative
82, 0, 86, 1, -42, -29, 5, 130, 126, negative
104, 8, 105, 9, 70, -25, 1, 35, 34, negative
80, -1, 84, 0, -20, 5, 4, 105, 100, negative
81, 0, 84, 2, -12, 19, 4, 97, 94, negative
79, 0, 83, 0, -30, -28, 4, 114, 110, negative
45, 32, 77, 0, 28, 0, 32, 48, 16, positive
77, 0, 81, 0, -40, 2, 4, 123, 118, negative
102, 0, 102, 0, 70, -4, 1, 33, 32, negative
78, 0, 81, -5, -40, 0, 4, 123, 120, negative
102, 5, 104, 4, 70, -2, 1, 34, 32, negative
81, 0, 84, 0, -20, -15, 4, 105, 102, negative
105, 3, 107, 9, 70, 0, 1, 37, 36, negative
104, 0, 106, -2, 70, -3, 1, 36, 34, negative
79, -1, 83, 0, -30, -3, 4, 114, 110, negative
83, 0, 86, -5, -2, 24, 3, 88, 86, negative
76, 0, 81, 4, -42, 0, 5, 125, 120, negative
105, 6, 106, 1, 70, 0, 1, 36, 34, negative
84, 0, 88, 7, 0, 0, 4, 88, 84, negative
107, 0, 108, 1, 72, 8, 1, 36, 34, negative
101, 0, 102, 0, 72, 59, 1, 30, 28, negative
79, 6, 83, 0, -40, 7, 4, 125, 120, negative
106, 5, 108, 2, 70, 0, 1, 38, 36, negative
83, 0, 86, -3, -2, 21, 3, 88, 86, negative
84, 0, 88, 6, 0, 0, 4, 88, 84, negative
85, -2, 88, 0, 2, -16, 3, 86, 82, negative
82, -1, 86, 0, -40, 0, 5, 128, 124, negative
103, 0, 104, -1, 70, 0, 1, 34, 34, negative
76, 0, 80, -7, -40, 0, 4, 121, 118, negative
77, 0, 81, 0, -40, 12, 4, 123, 118, negative
80, -5, 84, 0, -20, 0, 4, 105, 100, negative
105, -1, 107, -4, 70, -5, 1, 37, 36, negative
75, 5, 79, 5, -42, 0, 4, 123, 120, negative
85, 0, 88, -2, 6, 26, 3, 83, 80, negative
79, 0, 83, -6, -32, -17, 4, 117, 112, negative
85, 2, 88, 0, 0, 0, 3, 88, 84, negative
82, -4, 86, -1, -40, 0, 5, 128, 124, negative
80, 0, 84, 0, -32, 24, 4, 117, 114, negative
82, 5, 86, 0, -22, 16, 4, 109, 106, negative
79, 0, 84, 4, -42, -10, 4, 128, 124, negative
116, 602, 106, -1, 30, 29, -10, 75, 84, negative
105, -5, 106, 0, 70, 0, 2, 36, 34, negative
104, 5, 105, 0, 72, 6, 1, 33, 32, negative
81, 0, 86, 5, -24, -1, 4, 112, 108, negative
79, 0, 83, 0, -28, 5, 4, 112, 108, negative
84, 0, 88, 0, 0, 20, 3, 88, 84, negative
81, 1, 86, 0, -42, -28, 4, 130, 126, negative
78, 0, 82, -5, -46, 0, 4, 128, 124, negative
104, 2, 106, 5, 70, 0, 1, 36, 34, negative
105, 0, 106, -4, 70, 0, 1, 36, 36, negative
82, -4, 87, 0, -40, 0, 5, 128, 124, negative
105, 0, 106, 8, 70, 0, 2, 36, 34, negative
76, 0, 81, 0, -40, 0, 5, 122, 118, negative
82, 0, 86, 0, -2, 7, 3, 88, 84, negative
82, 3, 86, 5, -40, 0, 5, 128, 124, negative
86, 3, 89, 0, 8, 6, 3, 81, 78, negative
108, 1, 109, 0, 72, 3, 1, 36, 36, negative
102, 5, 102, 0, 70, 0, 1, 33, 32, negative
79, 0, 83, 0, -42, 29, 4, 127, 122, negative
80, 3, 84, 6, -28, 0, 4, 112, 108, negative
102, 5, 102, 1, 70, -16, 1, 33, 32, negative
104, -5, 105, -3, 72, 11, 1, 33, 32, negative
107, 0, 108, -1, 72, 5, 1, 35, 34, negative
102, 0, 102, -3, 70, -13, 1, 33, 32, negative
101, 0, 102, 0, 70, -1, 1, 33, 32, negative
105, -7, 107, -3, 70, 0, 2, 37, 34, negative
103, 2, 104, 3, 70, 0, 1, 35, 34, negative
105, 0, 106, -1, 70, -2, 1, 36, 36, negative
107, 1, 108, 3, 70, -30, 1, 38, 36, negative
84, 0, 86, -7, -4, 0, 3, 92, 88, negative
85, 0, 88, 0, 6, 19, 3, 83, 80, negative
84, -2, 87, 0, 0, 0, 3, 87, 84, negative
79, 0, 83, 1, -40, 17, 5, 125, 120, negative
79, 1, 83, 0, -42, -18, 4, 126, 122, negative
81, 1, 85, 0, -24, 0, 4, 111, 108, negative
102, 3, 104, 3, 72, 15, 1, 31, 30, negative
102, 0, 102, -7, 70, -9, 1, 33, 32, negative
102, 0, 103, 0, 70, -10, 1, 33, 32, negative
81, 0, 84, 0, -20, 8, 4, 105, 102, negative
79, 0, 83, 0, -30, -16, 4, 114, 110, negative
80, 1, 84, 0, -42, 0, 4, 128, 124, negative
80, 4, 84, 0, -42, 0, 4, 128, 124, negative
70, 51, 82, 0, -40, 28, 12, 123, 112, positive
79, 0, 84, 2, -42, -4, 4, 128, 124, negative
68, 72, 82, 0, -42, -8, 14, 126, 112, positive
82, 0, 85, 0, -6, 6, 3, 93, 90, negative
78, 1, 82, 0, -42, 0, 4, 126, 122, negative
106, 4, 108, 1, 70, 0, 1, 38, 36, negative
105, 1, 106, 0, 70, -2, 1, 36, 36, negative
106, 0, 107, -1, 72, 3, 1, 35, 34, negative
79, 0, 83, 0, -46, -14, 4, 130, 126, negative
85, 0, 88, 2, 0, 0, 3, 88, 84, negative
80, 0, 84, 0, -24, 1, 4, 110, 106, negative
104, 1, 106, 2, 70, 0, 1, 36, 34, negative
80, 0, 84, -5, -36, 0, 4, 120, 116, negative
84, 0, 87, 0, 0, 1, 3, 87, 84, negative
102, 0, 103, 0, 70, -11, 1, 33, 32, negative
82, 0, 85, 0, -10, -26, 3, 95, 92, negative
83, 0, 87, 0, -40, 2, 4, 128, 124, negative
79, 0, 83, 0, -40, 2, 4, 125, 120, negative
107, 0, 108, 0, 70, -29, 1, 38, 36, negative
84, 0, 88, -2, 6, -6, 4, 83, 78, negative
79, -2, 84, 0, -40, 16, 4, 125, 120, negative
79, 1, 84, 2, -40, 1, 4, 125, 120, negative
71, -10, 76, -7, -40, 3, 5, 117, 112, negative
81, 0, 85, -5, -22, 0, 4, 108, 104, negative
85, 0, 88, -1, 6, -4, 3, 83, 80, negative
80, -4, 84, 0, -28, 0, 4, 112, 108, negative
82, 1, 86, 0, -22, 6, 4, 109, 106, negative
77, 2, 82, 5, -42, -18, 5, 126, 122, negative
101, 0, 102, 0, 72, 17, 1, 29, 28, negative
102, 0, 103, 0, 72, 23, 1, 31, 30, negative
76, 5, 80, 0, -42, 0, 4, 124, 120, negative
85, 1, 88, 0, -2, -7, 3, 91, 88, negative
85, 1, 88, 0, 6, 6, 3, 83, 80, negative
86, 2, 89, 0, 8, 3, 3, 81, 78, negative
103, 3, 104, 0, 70, 0, 1, 34, 34, negative
81, 4, 86, 1, -40, 5, 4, 127, 122, negative
83, 0, 86, 1, -2, 0, 4, 89, 86, negative
85, 2, 88, 0, 2, 0, 3, 86, 82, negative
81, 0, 84, 0, -14, -17, 4, 100, 96, negative
55, 0, 29, -674, -22, -1, -26, 52, 78, negative
80, 0, 84, 0, -24, 6, 4, 110, 106, negative
81, 3, 84, 0, -14, 0, 3, 100, 96, negative
82, 0, 86, 0, -4, -16, 3, 91, 88, negative
87, 0, 89, 0, 8, 0, 2, 81, 78, negative
76, 3, 81, 0, -42, 0, 4, 125, 120, negative
81, -3, 85, 0, -10, 0, 4, 95, 92, negative
103, 4, 104, 2, 70, 0, 1, 35, 34, negative
102, 0, 103, 3, 70, -7, 1, 33, 32, negative
79, 0, 83, 1, -40, 14, 5, 125, 120, negative
105, 3328, 86, -2, 46, 0, -19, 39, 58, negative
106, 1, 107, 0, 70, 0, 1, 37, 36, negative
104, -1, 105, 0, 70, -17, 1, 35, 34, negative
85, 0, 88, 0, 0, -3, 3, 88, 86, negative
84, 0, 87, -1, 0, 6, 3, 87, 84, negative
104, 4, 105, 5, 70, 0, 1, 35, 34, negative
82, 2, 86, 0, -22, 0, 4, 109, 106, negative
77, 4, 81, 0, -42, 0, 4, 125, 122, negative
104, -2, 105, 0, 72, 6, 1, 33, 32, negative
102, -3, 103, 0, 72, 23, 1, 31, 30, negative
107, 4, 108, 0, 70, 0, 1, 38, 36, negative
85, 0, 88, 0, 2, 5, 3, 86, 82, negative
81, 3, 85, 1, -42, -21, 4, 129, 124, negative
107, 2, 108, 0, 72, 2, 1, 36, 34, negative
81, 0, 85, 0, -40, 7, 4, 126, 122, negative
105, -1, 106, -5, 70, -4, 1, 36, 36, negative
106, -1, 107, -4, 70, 0, 1, 37, 36, negative
85, 0, 88, -7, 2, -7, 3, 86, 82, negative
79, 0, 83, 0, -28, 13, 4, 112, 108, negative
85, 0, 88, 0, 2, -12, 3, 86, 82, negative
105, 2, 106, 1, 70, -27, 1, 36, 34, negative
82, 0, 85, 0, -2, 4, 3, 88, 84, negative
76, 0, 81, 5, -42, 0, 5, 125, 120, negative
102, 0, 103, 2, 70, -11, 1, 33, 32, negative
87, 5, 89, 0, 8, 0, 2, 81, 80, negative
102, 0, 103, 0, 72, 4, 1, 31, 30, negative
102, 6, 103, 3, 70, -6, 1, 33, 32, negative
80, -1, 84, 0, -24, 0, 4, 110, 106, negative
79, 0, 83, 0, -30, -14, 4, 114, 110, negative
104, 0, 105, 0, 72, 5, 1, 33, 32, negative
76, 2, 81, -4, -42, -1, 5, 125, 120, negative
80, 0, 84, 0, -28, -16, 4, 112, 108, negative
75, -5, 79, -6, -40, 0, 4, 121, 116, negative
79, 0, 84, 0, -36, -118, 4, 120, 116, negative
82, 0, 87, 2, -40, 7, 5, 128, 124, negative
77, 1, 81, 1, -42, -22, 4, 125, 120, negative
105, 3, 107, 6, 72, 3, 1, 35, 34, negative
84, 0, 88, 0, 6, -2, 5, 83, 78, negative
80, 2, 84, 0, -38, -17, 4, 123, 118, negative
80, 0, 84, 0, -32, 5, 4, 117, 114, negative
82, 4, 86, -3, -10, 18, 3, 96, 92, negative
83, 1, 86, 0, -6, 0, 3, 94, 90, negative
83, 0, 87, 6, -4, 1, 4, 92, 88, negative
85, 0, 88, 0, 2, 13, 3, 86, 82, negative
79, 0, 84, 1, -38, 0, 4, 123, 118, negative
84, 1, 88, 3, 0, 0, 3, 88, 84, negative
101, 0, 102, 0, 72, 1, 1, 29, 28, negative
81, 1, 84, 0, -14, 3, 3, 100, 96, negative
81, 0, 85, -3, -22, 31, 4, 108, 104, negative
105, 7, 106, 7, 70, 0, 1, 36, 36, negative
80, 0, 84, 0, -40, 17, 4, 125, 122, negative
81, 0, 84, 1, -14, -14, 4, 100, 96, negative
77, 4, 81, 0, -42, -14, 4, 125, 122, negative
102, 0, 102, -6, 70, -2, 1, 33, 32, negative
80, 0, 84, -3, -20, 0, 4, 105, 100, negative
82, 0, 86, 0, -12, -12, 3, 99, 96, negative
48, 30, 77, 0, 28, 0, 29, 48, 20, positive
82, 0, 86, 0, -12, -26, 3, 99, 96, negative
102, 0, 103, 0, 70, -24, 1, 33, 32, negative
81, 0, 85, 7, -12, 1, 4, 98, 94, negative
85, 5, 88, 8, -2, 0, 3, 91, 88, negative
85, -1, 88, -3, 6, -9, 3, 83, 80, negative
81, 5, 84, 0, -20, 0, 4, 105, 102, negative
105, 0, 107, 4, 70, 0, 1, 37, 36, negative
81, 0, 85, 1, -24, 0, 4, 111, 106, negative
85, 0, 89, 0, 2, -14, 4, 86, 82, negative
105, 5, 106, -7, 70, 0, 1, 36, 36, negative
85, 0, 88, 0, 6, 15, 3, 83, 80, negative
80, 0, 84, 1, -42, -20, 5, 128, 124, negative
105, 6, 106, 2, 70, 0, 1, 36, 34, negative
79, 0, 83, 0, -32, -8, 4, 117, 112, negative
86, 2, 89, 0, 8, 5, 3, 81, 78, negative
81, 3, 84, 0, -18, 0, 3, 103, 100, negative
82, 0, 85, 0, -2, 8, 3, 88, 84, negative
103, -3, 104, -8, 72, 9, 1, 31, 30, negative
82, 0, 86, 0, -40, 6, 4, 128, 124, negative
104, 0, 105, 0, 70, -27, 1, 35, 34, negative
105, 3, 106, 3, 72, 9, 1, 34, 32, negative
81, 1, 86, 0, -40, 5, 4, 127, 122, negative
105, 4, 106, 2, 70, 0, 1, 36, 36, negative
85, 0, 88, -5, 0, 0, 3, 88, 84, negative
106, -1, 107, -2, 70, -30, 1, 37, 36, negative
104, -1, 106, 8, 70, 0, 2, 36, 34, negative
102, 0, 103, 0, 72, 29, 1, 31, 30, negative
106, -5, 108, 0, 70, 0, 1, 38, 36, negative
102, 2, 103, 0, 70, -10, 1, 33, 32, negative
107, 5, 108, 0, 70, 0, 1, 38, 38, negative
80, 0, 84, 0, -28, -4, 4, 112, 108, negative
76, 1, 81, 6, -40, 19, 5, 123, 118, negative
79, 0, 83, 0, -42, 12, 4, 127, 122, negative
81, 2, 86, 1, -40, 8, 4, 127, 122, negative
102, 0, 103, 0, 72, 5, 1, 31, 30, negative
79, 0, 83, 0, -42, 25, 4, 127, 122, negative
76, -1, 81, 0, -40, 0, 4, 122, 118, negative
102, 2, 103, 1, 72, 10, 1, 31, 30, negative
104, 5, 104, 0, 70, 0, 1, 35, 34, negative
85, 5, 89, 0, 8, 18, 4, 81, 78, negative
82, 1, 86, 0, -2, 5, 3, 88, 84, negative
79, 0, 83, 0, -46, 0, 4, 129, 126, negative
102, -1, 103, -3, 70, -13, 1, 33, 32, negative
75, 2, 79, 2, -42, 0, 4, 123, 120, negative
80, 0, 84, -1, -42, 4, 5, 128, 124, negative
79, 0, 83, 0, -40, 1, 4, 124, 120, negative
76, -1, 81, -1, -42, -4, 5, 125, 120, negative
103, 0, 104, -2, 70, -3, 1, 35, 34, negative
83, -2, 86, -2, -4, 0, 3, 92, 88, negative
80, 0, 84, 0, -40, 24, 4, 125, 122, negative
81, 0, 86, 1, -24, -14, 4, 112, 108, negative
101, 0, 102, 0, 70, -16, 1, 32, 32, negative
82, 2, 86, -1, -10, 7, 3, 96, 92, negative
104, 5, 105, 0, 70, -30, 1, 35, 34, negative
81, 0, 85, -1, -24, -1, 4, 111, 108, negative
79, 0, 83, 0, -28, 8, 4, 112, 108, negative
84, 0, 88, 0, -2, -11, 3, 90, 88, negative
104, -11, 107, -1, 70, 0, 3, 37, 34, negative
85, 0, 88, -29, 0, 0, 3, 88, 84, negative
79, 0, 83, 0, -30, -8, 4, 114, 110, negative
84, 10, 89, 0, 8, 26, 5, 81, 76, negative
79, 0, 83, 0, -42, 6, 4, 127, 122, negative
79, -1, 84, 0, -10, 40, 4, 94, 90, negative
102, 2, 103, 0, 72, 18, 1, 31, 30, negative
71, -4, 75, -7, -42, -29, 4, 119, 114, negative
80, -1, 84, 0, -20, 6, 4, 105, 100, negative
101, -2, 102, -2, 72, 0, 1, 29, 28, negative
85, 0, 88, 0, 0, 0, 3, 88, 86, negative
81, 0, 86, 0, -40, 6, 4, 127, 122, negative
104, 2, 105, 0, 72, 6, 1, 33, 32, negative
105, 2, 107, 6, 70, 0, 1, 37, 36, negative
84, 0, 88, 4, -2, 0, 4, 90, 86, negative
80, -3, 84, 0, -28, 0, 4, 112, 108, negative
80, 0, 84, -2, -40, 3, 4, 125, 122, negative
85, 4, 88, 0, 2, 0, 3, 86, 82, negative
85, 0, 89, 7, 2, 0, 4, 86, 82, negative
102, 2, 103, 6, 72, 14, 1, 31, 30, negative
103, -5, 104, -3, 70, 0, 1, 35, 34, negative
80, -1, 84, -2, -42, 5, 5, 128, 124, negative
85, 0, 88, -56, 0, 0, 3, 88, 84, negative
85, -1, 88, 0, 2, 7, 3, 86, 82, negative
82, -1, 86, 0, -6, 0, 4, 94, 90, negative
104, 2, 105, 0, 70, 0, 1, 35, 34, negative
81, 0, 85, 1, -12, 0, 4, 98, 94, negative
107, 3, 108, 0, 72, 3, 1, 36, 34, negative
85, -16, 89, 0, 8, 0, 4, 81, 78, negative
105, 3, 106, 1, 72, 31, 1, 33, 32, negative
78, 1, 82, 2, -42, 0, 4, 126, 122, negative
81, 1, 84, 0, -14, 2, 3, 100, 96, negative
81, 0, 84, 0, -18, -5, 3, 103, 100, negative
105, -4, 107, 0, 72, 0, 1, 35, 34, negative
74, 8, 78, 10, -42, -2, 4, 122, 118, negative
78, 2, 82, 6, -42, 0, 4, 126, 122, negative
103, 3447, 76, 0, 42, 0, -27, 35, 62, negative
105, 0, 107, 0, 70, -1, 1, 37, 36, negative
79, 0, 83, 0, -42, 17, 4, 127, 122, negative
74, 6, 78, 3, -42, 0, 4, 122, 118, negative
82, 0, 86, -3, -40, 0, 4, 128, 124, negative
81, -1, 85, -2, -40, 0, 4, 126, 122, negative
81, 0, 85, 0, -22, 31, 4, 108, 104, negative
105, 0, 106, -1, 72, 2, 1, 34, 34, negative
84, 2, 87, -1, 0, 0, 3, 87, 84, negative
105, 0, 106, 1, 70, 0, 2, 36, 34, negative
81, 0, 86, 0, -40, 2, 4, 127, 122, negative
80, 0, 84, 2, -24, 4, 4, 110, 106, negative
81, 0, 84, 0, -18, 9, 4, 103, 98, negative
85, -2, 88, 0, 2, 11, 3, 86, 82, negative
80, 0, 84, -1, -20, 0, 4, 105, 100, negative
82, 0, 85, -4, -2, 12, 3, 88, 84, negative
84, 0, 88, 0, 0, 16, 3, 88, 84, negative
82, 0, 85, -1, -12, 0, 3, 98, 94, negative
85, 0, 88, 0, 6, 3, 3, 83, 80, negative
85, -27, 89, 0, 8, 0, 4, 81, 78, negative
83, 0, 86, 0, -4, 4, 3, 92, 88, negative
50, 30, 77, 0, -22, 0, 28, 101, 72, positive
86, 6, 89, 0, 8, 12, 3, 81, 78, negative
83, 4, 86, 0, -6, 0, 3, 94, 90, negative
83, 0, 86, 0, -4, -9, 4, 92, 88, negative
79, 3, 83, 0, -42, -21, 4, 127, 122, negative
102, 0, 102, -4, 70, -3, 1, 33, 32, negative
85, 0, 88, 6, 0, 0, 3, 88, 84, negative
81, 0, 84, -1, -18, 14, 4, 103, 98, negative
81, 0, 84, 0, -18, 0, 3, 103, 100, negative
79, 0, 83, -1, -32, -1, 4, 117, 112, negative
81, -1, 85, 0, -24, 0, 4, 111, 106, negative
84, -5, 88, 0, 6, 0, 4, 83, 80, negative
85, 0, 88, 0, 2, 0, 3, 86, 82, negative
105, 0, 107, 0, 72, 0, 1, 35, 34, negative
