@relation abalone-3_vs_11
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.002, 2.8255]
@attribute Shucked_weight real [0.001, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
F, 0.655, 0.5, 0.205, 1.528, 0.6215, 0.3725, 0.4535, negative
M, 0.715, 0.55, 0.175, 1.825, 0.938, 0.3805, 0.44, negative
F, 0.595, 0.43, 0.21, 1.5245, 0.653, 0.396, 0.41, negative
M, 0.7, 0.545, 0.185, 1.6135, 0.75, 0.4035, 0.3685, negative
M, 0.615, 0.485, 0.215, 0.9615, 0.422, 0.176, 0.29, negative
M, 0.675, 0.52, 0.145, 1.3645, 0.557, 0.3405, 0.385, negative
F, 0.68, 0.52, 0.185, 1.494, 0.615, 0.3935, 0.406, negative
M, 0.51, 0.395, 0.125, 0.5805, 0.244, 0.1335, 0.188, negative
F, 0.505, 0.405, 0.18, 0.606, 0.239, 0.1235, 0.18, negative
M, 0.57, 0.455, 0.15, 0.96, 0.387, 0.2385, 0.275, negative
M, 0.465, 0.36, 0.125, 0.4365, 0.169, 0.1075, 0.145, negative
I, 0.445, 0.345, 0.13, 0.4075, 0.1365, 0.0645, 0.18, negative
M, 0.685, 0.53, 0.17, 1.56, 0.647, 0.383, 0.465, negative
M, 0.63, 0.515, 0.17, 1.385, 0.6355, 0.2955, 0.38, negative
I, 0.53, 0.395, 0.125, 0.6235, 0.2975, 0.108, 0.195, negative
M, 0.605, 0.49, 0.165, 1.1245, 0.492, 0.222, 0.3555, negative
M, 0.615, 0.47, 0.175, 1.242, 0.5675, 0.287, 0.317, negative
I, 0.63, 0.49, 0.17, 1.217, 0.5515, 0.212, 0.31, negative
F, 0.65, 0.495, 0.175, 1.227, 0.528, 0.258, 0.37, negative
M, 0.625, 0.47, 0.17, 1.1665, 0.4605, 0.2565, 0.3945, negative
M, 0.68, 0.54, 0.195, 1.7825, 0.5565, 0.3235, 0.4285, negative
M, 0.66, 0.505, 0.19, 1.4385, 0.6775, 0.285, 0.178, negative
I, 0.52, 0.41, 0.14, 0.5995, 0.242, 0.1375, 0.182, negative
F, 0.63, 0.515, 0.16, 1.336, 0.553, 0.3205, 0.35, negative
M, 0.68, 0.545, 0.185, 1.672, 0.7075, 0.364, 0.48, negative
F, 0.71, 0.545, 0.175, 1.907, 0.8725, 0.4565, 0.475, negative
F, 0.6, 0.5, 0.17, 1.13, 0.4405, 0.267, 0.335, negative
F, 0.585, 0.455, 0.17, 0.9945, 0.4255, 0.263, 0.2845, negative
F, 0.44, 0.355, 0.115, 0.415, 0.1585, 0.0925, 0.131, negative
M, 0.6, 0.495, 0.175, 1.3005, 0.6195, 0.284, 0.3285, negative
F, 0.585, 0.485, 0.15, 1.079, 0.4145, 0.2115, 0.356, negative
M, 0.5, 0.39, 0.13, 0.709, 0.275, 0.168, 0.18, negative
M, 0.665, 0.515, 0.19, 1.6385, 0.831, 0.3575, 0.371, negative
M, 0.61, 0.48, 0.14, 1.0625, 0.516, 0.225, 0.2915, negative
I, 0.55, 0.445, 0.145, 0.783, 0.3045, 0.157, 0.265, negative
F, 0.72, 0.545, 0.185, 1.7185, 0.7925, 0.401, 0.468, negative
M, 0.6, 0.475, 0.23, 1.157, 0.522, 0.2235, 0.36, negative
M, 0.625, 0.49, 0.165, 1.1835, 0.517, 0.2375, 0.39, negative
F, 0.62, 0.5, 0.175, 1.107, 0.4895, 0.24, 0.343, negative
F, 0.675, 0.54, 0.21, 1.593, 0.686, 0.318, 0.45, negative
I, 0.55, 0.445, 0.125, 0.672, 0.288, 0.1365, 0.21, negative
