@relation abalone-17_vs_7-8-9-10
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.002, 2.8255]
@attribute Shucked_weight real [0.001, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
M, 0.445, 0.32, 0.12, 0.414, 0.199, 0.09, 0.117, negative
I, 0.395, 0.29, 0.095, 0.3, 0.158, 0.068, 0.078, negative
I, 0.435, 0.325, 0.12, 0.346, 0.159, 0.084, 0.095, negative
F, 0.58, 0.435, 0.15, 0.839, 0.3485, 0.207, 0.192, negative
M, 0.415, 0.3, 0.1, 0.3355, 0.1545, 0.0685, 0.095, negative
M, 0.425, 0.325, 0.1, 0.3295, 0.1365, 0.0725, 0.11, negative
I, 0.4, 0.31, 0.1, 0.127, 0.106, 0.071, 0.085, negative
I, 0.415, 0.325, 0.1, 0.385, 0.167, 0.08, 0.125, negative
F, 0.455, 0.35, 0.12, 0.4555, 0.1945, 0.1045, 0.1375, negative
I, 0.46, 0.345, 0.12, 0.4155, 0.198, 0.0885, 0.107, negative
I, 0.505, 0.385, 0.12, 0.6005, 0.239, 0.142, 0.185, negative
I, 0.44, 0.335, 0.115, 0.4215, 0.173, 0.0765, 0.113, negative
I, 0.405, 0.305, 0.1, 0.271, 0.0965, 0.061, 0.091, negative
I, 0.475, 0.355, 0.115, 0.5195, 0.279, 0.088, 0.1325, negative
I, 0.33, 0.225, 0.075, 0.187, 0.0945, 0.0395, 0.0425, negative
I, 0.495, 0.33, 0.1, 0.44, 0.177, 0.095, 0.15, negative
I, 0.425, 0.31, 0.095, 0.3075, 0.139, 0.0745, 0.093, negative
I, 0.31, 0.235, 0.075, 0.1515, 0.056, 0.0315, 0.05, negative
M, 0.455, 0.375, 0.125, 0.484, 0.2155, 0.102, 0.165, negative
I, 0.43, 0.32, 0.1, 0.3855, 0.192, 0.0745, 0.1, negative
M, 0.56, 0.45, 0.14, 0.9, 0.472, 0.182, 0.218, negative
I, 0.375, 0.285, 0.09, 0.257, 0.1045, 0.062, 0.075, negative
F, 0.525, 0.44, 0.125, 0.7115, 0.3205, 0.159, 0.1915, negative
I, 0.35, 0.25, 0.1, 0.4015, 0.1725, 0.063, 0.1255, negative
I, 0.455, 0.35, 0.135, 0.5365, 0.2855, 0.0855, 0.1325, negative
M, 0.51, 0.405, 0.125, 0.6925, 0.327, 0.155, 0.1805, negative
M, 0.35, 0.265, 0.09, 0.197, 0.073, 0.0365, 0.077, negative
I, 0.44, 0.345, 0.12, 0.365, 0.1655, 0.083, 0.11, negative
I, 0.345, 0.265, 0.1, 0.2455, 0.111, 0.0535, 0.065, negative
M, 0.5, 0.4, 0.125, 0.6725, 0.336, 0.12, 0.1825, negative
I, 0.475, 0.365, 0.115, 0.459, 0.2175, 0.093, 0.1165, negative
I, 0.415, 0.325, 0.1, 0.313, 0.139, 0.0625, 0.0965, negative
M, 0.475, 0.36, 0.1, 0.4285, 0.1965, 0.099, 0.112, negative
I, 0.465, 0.37, 0.11, 0.445, 0.1635, 0.096, 0.166, negative
M, 0.565, 0.415, 0.125, 0.667, 0.302, 0.1545, 0.185, negative
M, 0.54, 0.41, 0.13, 0.56, 0.2375, 0.1065, 0.175, negative
I, 0.47, 0.355, 0.115, 0.4155, 0.167, 0.084, 0.139, negative
F, 0.485, 0.365, 0.15, 0.9145, 0.4145, 0.199, 0.273, negative
I, 0.39, 0.31, 0.085, 0.344, 0.181, 0.0695, 0.079, negative
M, 0.445, 0.35, 0.12, 0.4425, 0.192, 0.0955, 0.135, negative
I, 0.385, 0.29, 0.085, 0.2505, 0.112, 0.061, 0.08, negative
M, 0.37, 0.28, 0.1, 0.252, 0.1065, 0.0595, 0.074, negative
I, 0.36, 0.28, 0.09, 0.2255, 0.0885, 0.04, 0.09, negative
M, 0.445, 0.35, 0.115, 0.3615, 0.1565, 0.0695, 0.117, negative
M, 0.355, 0.265, 0.09, 0.168, 0.05, 0.041, 0.063, negative
I, 0.485, 0.375, 0.14, 0.521, 0.2, 0.123, 0.17, negative
F, 0.55, 0.43, 0.125, 0.923, 0.4035, 0.175, 0.283, negative
F, 0.64, 0.51, 0.165, 1.486, 0.7595, 0.332, 0.321, negative
I, 0.45, 0.355, 0.105, 0.4445, 0.197, 0.093, 0.1335, negative
M, 0.47, 0.365, 0.12, 0.612, 0.327, 0.15, 0.14, negative
F, 0.525, 0.415, 0.14, 0.724, 0.3475, 0.173, 0.175, negative
F, 0.53, 0.425, 0.15, 0.8495, 0.328, 0.232, 0.202, negative
M, 0.535, 0.435, 0.14, 0.874, 0.3735, 0.229, 0.2195, negative
F, 0.57, 0.455, 0.15, 1.107, 0.54, 0.255, 0.27, negative
F, 0.58, 0.46, 0.18, 1.0515, 0.4095, 0.2595, 0.276, negative
F, 0.59, 0.455, 0.145, 1.063, 0.5155, 0.2445, 0.25, negative
M, 0.69, 0.525, 0.175, 1.7005, 0.8255, 0.362, 0.405, negative
I, 0.48, 0.38, 0.125, 0.6245, 0.3395, 0.1085, 0.1665, negative
F, 0.56, 0.44, 0.155, 0.6405, 0.336, 0.1765, 0.245, negative
M, 0.56, 0.415, 0.145, 0.852, 0.43, 0.1885, 0.205, negative
I, 0.57, 0.44, 0.15, 0.755, 0.3425, 0.16, 0.224, negative
M, 0.665, 0.525, 0.16, 1.363, 0.629, 0.279, 0.34, negative
I, 0.38, 0.27, 0.08, 0.2105, 0.0865, 0.042, 0.07, negative
I, 0.395, 0.305, 0.105, 0.284, 0.1135, 0.0595, 0.0945, negative
I, 0.47, 0.355, 0.18, 0.48, 0.2055, 0.105, 0.1505, negative
I, 0.475, 0.355, 0.1, 0.5035, 0.2535, 0.091, 0.14, negative
I, 0.475, 0.36, 0.11, 0.492, 0.211, 0.11, 0.15, negative
I, 0.48, 0.355, 0.115, 0.4725, 0.2065, 0.112, 0.132, negative
I, 0.545, 0.435, 0.135, 0.7715, 0.372, 0.148, 0.227, negative
M, 0.565, 0.445, 0.15, 0.796, 0.3635, 0.184, 0.219, negative
F, 0.58, 0.445, 0.15, 0.858, 0.4, 0.156, 0.253, negative
M, 0.44, 0.32, 0.12, 0.4565, 0.2435, 0.092, 0.1025, negative
M, 0.475, 0.37, 0.125, 0.649, 0.347, 0.136, 0.142, negative
M, 0.57, 0.445, 0.15, 0.9875, 0.504, 0.207, 0.249, negative
M, 0.585, 0.455, 0.15, 0.906, 0.4095, 0.23, 0.2335, negative
F, 0.59, 0.46, 0.145, 0.9905, 0.453, 0.2205, 0.275, negative
M, 0.6, 0.455, 0.155, 0.945, 0.4365, 0.2085, 0.25, negative
M, 0.635, 0.51, 0.185, 1.308, 0.544, 0.318, 0.377, negative
I, 0.47, 0.355, 0.125, 0.499, 0.21, 0.0985, 0.155, negative
I, 0.525, 0.38, 0.135, 0.615, 0.261, 0.159, 0.175, negative
I, 0.54, 0.425, 0.135, 0.686, 0.3475, 0.1545, 0.213, negative
F, 0.575, 0.465, 0.195, 0.9965, 0.417, 0.247, 0.47, negative
M, 0.605, 0.475, 0.145, 0.884, 0.3835, 0.1905, 0.27, negative
F, 0.63, 0.5, 0.18, 1.1965, 0.514, 0.2325, 0.3995, negative
I, 0.415, 0.31, 0.095, 0.311, 0.1125, 0.0625, 0.115, negative
I, 0.505, 0.4, 0.145, 0.7045, 0.334, 0.1425, 0.207, negative
I, 0.415, 0.325, 0.11, 0.316, 0.1385, 0.0795, 0.0925, negative
I, 0.48, 0.35, 0.135, 0.5465, 0.2735, 0.0995, 0.158, negative
M, 0.58, 0.45, 0.12, 0.8685, 0.418, 0.1475, 0.2605, negative
M, 0.65, 0.5, 0.14, 1.238, 0.6165, 0.2355, 0.32, negative
F, 0.505, 0.39, 0.115, 0.66, 0.3045, 0.1555, 0.175, negative
M, 0.525, 0.405, 0.13, 0.7185, 0.3265, 0.1975, 0.175, negative
F, 0.48, 0.38, 0.12, 0.608, 0.2705, 0.1405, 0.185, negative
F, 0.4, 0.3, 0.115, 0.3025, 0.1335, 0.0465, 0.0935, negative
F, 0.37, 0.275, 0.08, 0.227, 0.093, 0.0625, 0.07, negative
M, 0.525, 0.425, 0.125, 0.812, 0.4035, 0.1705, 0.195, negative
F, 0.625, 0.49, 0.175, 1.1075, 0.4485, 0.2165, 0.3595, negative
M, 0.63, 0.48, 0.165, 1.286, 0.604, 0.271, 0.35, negative
I, 0.415, 0.315, 0.1, 0.3645, 0.1765, 0.0795, 0.095, negative
F, 0.575, 0.48, 0.15, 0.897, 0.4235, 0.1905, 0.248, negative
F, 0.585, 0.435, 0.14, 0.6955, 0.3085, 0.129, 0.2245, negative
I, 0.41, 0.325, 0.11, 0.326, 0.1325, 0.075, 0.101, negative
I, 0.455, 0.34, 0.115, 0.486, 0.261, 0.0655, 0.1315, negative
I, 0.46, 0.345, 0.105, 0.415, 0.187, 0.087, 0.11, negative
I, 0.485, 0.38, 0.125, 0.5215, 0.2215, 0.118, 0.16, negative
I, 0.51, 0.385, 0.145, 0.7665, 0.3985, 0.14, 0.1805, negative
F, 0.585, 0.455, 0.13, 0.8755, 0.411, 0.2065, 0.225, negative
M, 0.6, 0.48, 0.09, 1.05, 0.457, 0.2685, 0.28, negative
I, 0.495, 0.375, 0.12, 0.589, 0.3075, 0.1215, 0.1405, negative
I, 0.475, 0.375, 0.11, 0.494, 0.211, 0.109, 0.1545, negative
I, 0.495, 0.375, 0.12, 0.614, 0.2855, 0.1365, 0.161, negative
I, 0.5, 0.37, 0.12, 0.5445, 0.249, 0.1065, 0.152, negative
M, 0.52, 0.465, 0.15, 0.9505, 0.456, 0.199, 0.255, negative
I, 0.55, 0.425, 0.13, 0.664, 0.2695, 0.163, 0.21, negative
F, 0.575, 0.425, 0.15, 0.8765, 0.455, 0.18, 0.228, negative
I, 0.43, 0.345, 0.115, 0.4295, 0.212, 0.108, 0.109, negative
M, 0.485, 0.365, 0.155, 1.029, 0.4235, 0.2285, 0.313, negative
M, 0.49, 0.355, 0.155, 0.981, 0.465, 0.2015, 0.2505, negative
I, 0.595, 0.43, 0.165, 0.9845, 0.4525, 0.207, 0.2725, negative
I, 0.525, 0.4, 0.11, 0.6275, 0.3015, 0.126, 0.18, negative
M, 0.56, 0.42, 0.15, 0.8755, 0.44, 0.1965, 0.2315, negative
M, 0.46, 0.36, 0.125, 0.547, 0.2165, 0.1105, 0.19, negative
M, 0.52, 0.415, 0.175, 0.753, 0.258, 0.171, 0.255, negative
I, 0.295, 0.21, 0.08, 0.1, 0.038, 0.026, 0.031, negative
F, 0.46, 0.35, 0.115, 0.44, 0.19, 0.1025, 0.13, negative
M, 0.55, 0.44, 0.16, 0.985, 0.4645, 0.201, 0.27, negative
M, 0.555, 0.44, 0.145, 0.85, 0.4165, 0.1685, 0.23, negative
I, 0.425, 0.325, 0.11, 0.405, 0.1695, 0.092, 0.1065, negative
I, 0.46, 0.34, 0.09, 0.384, 0.1795, 0.068, 0.11, negative
I, 0.54, 0.41, 0.135, 0.7025, 0.31, 0.177, 0.2, negative
I, 0.44, 0.32, 0.095, 0.3275, 0.1495, 0.059, 0.1, negative
I, 0.575, 0.44, 0.15, 0.983, 0.486, 0.215, 0.239, negative
I, 0.5, 0.395, 0.145, 0.7865, 0.332, 0.1815, 0.2455, negative
F, 0.52, 0.375, 0.135, 0.5375, 0.221, 0.117, 0.17, negative
I, 0.46, 0.34, 0.1, 0.386, 0.1805, 0.0875, 0.0965, negative
M, 0.57, 0.45, 0.14, 0.9275, 0.477, 0.1605, 0.2515, negative
I, 0.335, 0.25, 0.095, 0.185, 0.0795, 0.0495, 0.055, negative
I, 0.42, 0.32, 0.115, 0.409, 0.2055, 0.0935, 0.105, negative
M, 0.485, 0.39, 0.12, 0.599, 0.251, 0.1345, 0.169, negative
M, 0.61, 0.49, 0.16, 1.146, 0.597, 0.246, 0.265, negative
I, 0.49, 0.375, 0.115, 0.557, 0.2275, 0.1335, 0.1765, negative
I, 0.43, 0.315, 0.115, 0.384, 0.1885, 0.0715, 0.11, negative
M, 0.475, 0.37, 0.11, 0.4895, 0.2185, 0.107, 0.146, negative
M, 0.475, 0.36, 0.14, 0.5135, 0.241, 0.1045, 0.155, negative
F, 0.52, 0.405, 0.115, 0.776, 0.32, 0.1845, 0.22, negative
I, 0.45, 0.355, 0.11, 0.4585, 0.194, 0.067, 0.14, negative
F, 0.37, 0.275, 0.1, 0.2225, 0.093, 0.026, 0.08, negative
F, 0.53, 0.425, 0.13, 0.7585, 0.325, 0.197, 0.205, negative
F, 0.57, 0.445, 0.145, 0.8775, 0.412, 0.217, 0.22, negative
F, 0.55, 0.43, 0.14, 0.84, 0.375, 0.218, 0.1945, negative
F, 0.455, 0.355, 1.13, 0.594, 0.332, 0.116, 0.1335, negative
I, 0.385, 0.285, 0.085, 0.244, 0.1215, 0.0445, 0.068, negative
M, 0.45, 0.32, 0.1, 0.381, 0.1705, 0.075, 0.115, negative
M, 0.47, 0.37, 0.12, 0.5795, 0.293, 0.227, 0.14, negative
F, 0.525, 0.425, 0.16, 0.8355, 0.3545, 0.2135, 0.245, negative
M, 0.505, 0.405, 0.11, 0.625, 0.305, 0.16, 0.175, negative
F, 0.575, 0.445, 0.14, 0.941, 0.3845, 0.252, 0.285, negative
F, 0.435, 0.395, 0.105, 0.3635, 0.136, 0.098, 0.13, negative
M, 0.465, 0.36, 0.105, 0.431, 0.172, 0.107, 0.175, negative
M, 0.375, 0.285, 0.095, 0.253, 0.096, 0.0575, 0.0925, negative
I, 0.28, 0.205, 0.08, 0.127, 0.052, 0.039, 0.042, negative
F, 0.44, 0.34, 0.14, 0.482, 0.186, 0.1085, 0.16, negative
F, 0.5, 0.37, 0.135, 0.45, 0.1715, 0.1055, 0.155, negative
F, 0.405, 0.305, 0.095, 0.3485, 0.1455, 0.0895, 0.1, negative
F, 0.465, 0.35, 0.115, 0.421, 0.1565, 0.091, 0.1345, negative
M, 0.4, 0.29, 0.115, 0.2795, 0.1115, 0.0575, 0.075, negative
I, 0.365, 0.26, 0.115, 0.218, 0.0935, 0.0445, 0.07, negative
I, 0.485, 0.39, 0.125, 0.591, 0.287, 0.141, 0.12, negative
F, 0.37, 0.29, 0.115, 0.25, 0.111, 0.057, 0.075, negative
I, 0.475, 0.365, 0.115, 0.49, 0.223, 0.1235, 0.1335, negative
I, 0.47, 0.36, 0.13, 0.5225, 0.198, 0.1065, 0.165, negative
M, 0.38, 0.29, 0.12, 0.283, 0.1175, 0.0655, 0.085, negative
I, 0.485, 0.355, 0.105, 0.498, 0.2175, 0.096, 0.1525, negative
F, 0.495, 0.41, 0.125, 0.7555, 0.3355, 0.129, 0.214, negative
M, 0.5, 0.4, 0.125, 0.5975, 0.27, 0.1275, 0.166, negative
M, 0.555, 0.435, 0.145, 0.9685, 0.4985, 0.168, 0.2385, negative
M, 0.59, 0.475, 0.165, 1.077, 0.4545, 0.244, 0.3095, negative
M, 0.62, 0.5, 0.165, 1.307, 0.6355, 0.2545, 0.315, negative
M, 0.635, 0.51, 0.17, 1.3555, 0.619, 0.305, 0.39, negative
F, 0.635, 0.485, 0.165, 1.2945, 0.668, 0.2605, 0.2715, negative
F, 0.505, 0.39, 0.13, 0.674, 0.3165, 0.141, 0.1785, negative
F, 0.55, 0.43, 0.14, 0.8105, 0.368, 0.161, 0.275, negative
F, 0.625, 0.5, 0.165, 1.288, 0.573, 0.3035, 0.315, negative
I, 0.525, 0.4, 0.14, 0.601, 0.2625, 0.1285, 0.1835, negative
I, 0.535, 0.39, 0.125, 0.599, 0.2595, 0.149, 0.169, negative
M, 0.58, 0.455, 0.195, 1.859, 0.945, 0.426, 0.441, negative
F, 0.58, 0.45, 0.155, 0.93, 0.385, 0.246, 0.265, negative
M, 0.61, 0.485, 0.145, 1.3305, 0.783, 0.2255, 0.2865, negative
I, 0.5, 0.41, 0.14, 0.6615, 0.2585, 0.1625, 0.196, negative
I, 0.515, 0.4, 0.135, 0.6965, 0.32, 0.1255, 0.175, negative
I, 0.56, 0.425, 0.135, 0.8205, 0.3715, 0.185, 0.236, negative
I, 0.59, 0.445, 0.135, 0.7715, 0.328, 0.1745, 0.23, negative
M, 0.615, 0.48, 0.175, 1.118, 0.446, 0.3195, 0.3, negative
M, 0.625, 0.455, 0.17, 1.082, 0.4955, 0.2345, 0.315, negative
F, 0.63, 0.485, 0.17, 1.3205, 0.5945, 0.345, 0.345, negative
M, 0.65, 0.51, 0.19, 1.542, 0.7155, 0.3735, 0.375, negative
F, 0.745, 0.57, 0.215, 2.25, 1.1565, 0.446, 0.558, negative
M, 0.415, 0.315, 0.115, 0.3895, 0.2015, 0.065, 0.103, negative
F, 0.605, 0.485, 0.16, 1.201, 0.417, 0.2875, 0.38, negative
I, 0.52, 0.41, 0.145, 0.646, 0.2965, 0.1595, 0.165, negative
I, 0.545, 0.4, 0.13, 0.686, 0.3285, 0.1455, 0.18, negative
I, 0.565, 0.42, 0.155, 0.743, 0.31, 0.186, 0.231, negative
I, 0.58, 0.445, 0.125, 0.7095, 0.303, 0.1405, 0.235, negative
I, 0.605, 0.47, 0.145, 0.8025, 0.379, 0.2265, 0.22, negative
F, 0.605, 0.47, 0.155, 0.974, 0.393, 0.224, 0.3345, negative
M, 0.61, 0.47, 0.16, 1.022, 0.449, 0.2345, 0.2945, negative
I, 0.62, 0.47, 0.14, 0.8565, 0.3595, 0.16, 0.295, negative
M, 0.63, 0.505, 0.17, 1.0915, 0.4615, 0.266, 0.3, negative
M, 0.645, 0.485, 0.15, 1.2215, 0.5695, 0.2735, 0.33, negative
M, 0.485, 0.37, 0.155, 0.968, 0.419, 0.2455, 0.2365, negative
I, 0.485, 0.345, 0.16, 0.869, 0.3085, 0.185, 0.319, negative
M, 0.6, 0.465, 0.165, 1.038, 0.4975, 0.2205, 0.251, negative
F, 0.655, 0.52, 0.2, 1.5475, 0.713, 0.314, 0.466, negative
I, 0.485, 0.37, 0.115, 0.457, 0.1885, 0.0965, 0.15, negative
I, 0.53, 0.43, 0.16, 0.7245, 0.321, 0.1275, 0.24, negative
I, 0.53, 0.405, 0.12, 0.632, 0.2715, 0.148, 0.1875, negative
M, 0.615, 0.47, 0.15, 1.0875, 0.4975, 0.283, 0.2685, negative
M, 0.62, 0.47, 0.15, 1.309, 0.587, 0.4405, 0.325, negative
M, 0.625, 0.515, 0.17, 1.331, 0.5725, 0.3005, 0.361, negative
F, 0.53, 0.43, 0.15, 0.741, 0.325, 0.1855, 0.196, negative
F, 0.53, 0.405, 0.13, 0.6355, 0.2635, 0.1565, 0.185, negative
F, 0.56, 0.41, 0.16, 0.8215, 0.342, 0.184, 0.253, negative
I, 0.465, 0.355, 0.09, 0.4325, 0.2005, 0.074, 0.1275, negative
F, 0.54, 0.42, 0.13, 0.7505, 0.368, 0.1675, 0.1845, negative
F, 0.545, 0.43, 0.16, 0.844, 0.3945, 0.1855, 0.231, negative
M, 0.645, 0.495, 0.15, 1.2095, 0.603, 0.2225, 0.339, negative
I, 0.455, 0.37, 0.125, 0.433, 0.201, 0.1265, 0.145, negative
M, 0.455, 0.35, 0.105, 0.401, 0.1575, 0.083, 0.135, negative
M, 0.44, 0.375, 0.13, 0.487, 0.226, 0.0965, 0.155, negative
F, 0.5, 0.395, 0.15, 0.7145, 0.3235, 0.173, 0.195, negative
M, 0.46, 0.375, 0.13, 0.5735, 0.2505, 0.119, 0.195, negative
I, 0.42, 0.345, 0.115, 0.3435, 0.1515, 0.0795, 0.115, negative
I, 0.335, 0.24, 0.095, 0.17, 0.062, 0.039, 0.055, negative
M, 0.395, 0.305, 0.105, 0.282, 0.0975, 0.065, 0.096, negative
M, 0.525, 0.425, 0.19, 0.872, 0.4625, 0.1725, 0.199, negative
F, 0.6, 0.485, 0.165, 1.1405, 0.587, 0.2175, 0.288, negative
F, 0.69, 0.55, 0.18, 1.659, 0.8715, 0.2655, 0.4395, negative
M, 0.465, 0.34, 0.105, 0.486, 0.231, 0.1035, 0.1225, negative
M, 0.515, 0.395, 0.12, 0.646, 0.285, 0.1365, 0.172, negative
F, 0.57, 0.445, 0.15, 0.995, 0.504, 0.185, 0.2505, negative
F, 0.595, 0.47, 0.155, 1.1775, 0.542, 0.269, 0.31, negative
F, 0.57, 0.45, 0.18, 0.908, 0.4015, 0.217, 0.255, negative
M, 0.57, 0.45, 0.135, 1.02, 0.546, 0.204, 0.25, negative
F, 0.57, 0.43, 0.16, 0.811, 0.3875, 0.159, 0.2285, negative
M, 0.59, 0.46, 0.14, 1.004, 0.496, 0.2165, 0.26, negative
F, 0.615, 0.475, 0.17, 1.055, 0.543, 0.246, 0.2345, negative
F, 0.615, 0.47, 0.155, 1.084, 0.5885, 0.209, 0.246, negative
F, 0.645, 0.52, 0.18, 1.285, 0.5775, 0.352, 0.317, negative
M, 0.725, 0.55, 0.2, 1.51, 0.8735, 0.4265, 0.5085, negative
I, 0.505, 0.385, 0.125, 0.596, 0.245, 0.097, 0.21, negative
I, 0.505, 0.38, 0.135, 0.5385, 0.2645, 0.095, 0.165, negative
F, 0.515, 0.395, 0.135, 0.516, 0.2015, 0.132, 0.162, negative
M, 0.65, 0.52, 0.155, 1.368, 0.6185, 0.288, 0.365, negative
F, 0.705, 0.54, 0.205, 1.757, 0.8265, 0.417, 0.461, negative
M, 0.52, 0.4, 0.105, 0.872, 0.4515, 0.1615, 0.1985, negative
F, 0.525, 0.43, 0.135, 0.8435, 0.4325, 0.18, 0.1815, negative
F, 0.55, 0.435, 0.14, 0.745, 0.347, 0.174, 0.2265, negative
M, 0.63, 0.53, 0.18, 1.2795, 0.618, 0.256, 0.315, negative
M, 0.67, 0.525, 0.195, 1.4405, 0.6595, 0.2675, 0.425, negative
M, 0.555, 0.425, 0.15, 0.873, 0.4625, 0.1845, 0.1965, negative
M, 0.575, 0.47, 0.15, 0.9785, 0.4505, 0.196, 0.276, negative
M, 0.59, 0.405, 0.15, 0.853, 0.326, 0.2615, 0.245, negative
F, 0.53, 0.395, 0.115, 0.5685, 0.249, 0.1375, 0.161, negative
M, 0.335, 0.265, 0.095, 0.1975, 0.0795, 0.0375, 0.07, negative
M, 0.65, 0.505, 0.18, 1.469, 0.7115, 0.3335, 0.38, negative
F, 0.625, 0.5, 0.175, 1.273, 0.564, 0.302, 0.374, negative
F, 0.65, 0.475, 0.165, 1.3875, 0.58, 0.3485, 0.3095, negative
M, 0.62, 0.46, 0.16, 0.9505, 0.4915, 0.2, 0.228, negative
F, 0.665, 0.5, 0.175, 1.4355, 0.643, 0.345, 0.37, negative
M, 0.53, 0.41, 0.125, 0.769, 0.346, 0.173, 0.215, negative
F, 0.63, 0.505, 0.195, 1.306, 0.516, 0.3305, 0.375, negative
M, 0.43, 0.31, 0.13, 0.6485, 0.2735, 0.163, 0.184, negative
M, 0.495, 0.375, 0.155, 0.976, 0.45, 0.2285, 0.2475, negative
M, 0.515, 0.37, 0.115, 0.6145, 0.3415, 0.155, 0.146, negative
I, 0.515, 0.39, 0.12, 0.565, 0.235, 0.135, 0.179, negative
I, 0.525, 0.4, 0.14, 0.6055, 0.2605, 0.108, 0.21, negative
M, 0.53, 0.425, 0.13, 0.702, 0.2975, 0.1395, 0.22, negative
I, 0.535, 0.45, 0.135, 0.728, 0.2845, 0.1845, 0.265, negative
I, 0.565, 0.43, 0.125, 0.6545, 0.2815, 0.139, 0.21, negative
I, 0.58, 0.42, 0.14, 0.701, 0.3285, 0.102, 0.2255, negative
M, 0.565, 0.445, 0.14, 0.836, 0.406, 0.1605, 0.2245, negative
F, 0.605, 0.48, 0.175, 1.1685, 0.4815, 0.2305, 0.356, negative
F, 0.615, 0.475, 0.145, 0.9525, 0.3915, 0.195, 0.32, negative
F, 0.515, 0.4, 0.115, 0.578, 0.191, 0.1445, 0.17, negative
F, 0.555, 0.43, 0.14, 0.7545, 0.3525, 0.1835, 0.2015, negative
M, 0.625, 0.495, 0.155, 1.025, 0.46, 0.1945, 0.34, negative
M, 0.63, 0.49, 0.15, 1.1955, 0.5845, 0.257, 0.3, negative
M, 0.635, 0.5, 0.18, 1.2915, 0.594, 0.2695, 0.37, negative
